dzip,population,case,resident drivers crashing per 10k residents
98310,18703.0,2,1.0693471635566487
98311,25880.0,14,5.409582689335394
98312,30203.0,15,4.966394066814555
98320,1250.0,1,8.0
98321,15152.0,4,2.6399155227032733
98323,702.0,1,14.245014245014245
98325,1848.0,5,27.056277056277057
98326,1412.0,1,7.0821529745042495
98327,8267.0,2,2.41925728801258
98328,10433.0,12,11.501964919006998
98329,10545.0,11,10.431484115694643
98331,6261.0,8,12.777511579619869
98332,15855.0,4,2.522863450015768
98333,3633.0,2,5.505092210294523
98335,24925.0,10,4.012036108324975
98337,6697.0,4,5.972823652381663
98338,24098.0,20,8.299443937256203
98339,3326.0,1,3.006614552014432
98340,2537.0,2,7.883326763894363
98345,554.0,1,18.050541516245488
98346,9297.0,5,5.378078950198989
98349,4614.0,9,19.50585175552666
98351,1115.0,1,8.968609865470851
98354,6976.0,6,8.600917431192661
98355,628.0,1,15.92356687898089
98357,1414.0,3,21.216407355021218
98359,4887.0,3,6.138735420503377
98360,12221.0,8,6.546109156370182
98361,1158.0,1,8.635578583765112
98362,22230.0,10,4.49842555105713
98363,13343.0,11,8.244023083264633
98365,4528.0,2,4.41696113074205
98366,34258.0,16,4.670441940568626
98367,27693.0,14,5.05542916982631
98368,14724.0,9,6.112469437652812
98370,29528.0,14,4.741262530479545
98371,20468.0,16,7.817080320500293
98372,22475.0,12,5.339265850945495
98373,22246.0,11,4.944709161197519
98374,37360.0,17,4.550321199143469
98375,26863.0,17,6.328407102706325
98376,1998.0,2,10.01001001001001
98377,1922.0,5,26.014568158168576
98380,4173.0,1,2.3963575365444525
98382,26856.0,16,5.957700327673518
98383,19727.0,8,4.055355603994525
98387,43173.0,33,7.643666180251546
98388,7508.0,3,3.9957378795950986
98390,10461.0,6,5.735589331803843
98391,44309.0,29,6.544945722088063
98392,2994.0,2,6.680026720106881
98394,1107.0,3,27.100271002710027
98396,662.0,1,15.105740181268882
98402,6356.0,2,3.146633102580239
98403,7713.0,4,5.1860495267729805
98404,32086.0,31,9.661534625693449
98405,22851.0,8,3.5009408778609252
98406,21610.0,5,2.3137436372049978
98407,19885.0,10,5.028916268544129
98408,18830.0,9,4.779607010090282
98409,22989.0,11,4.784897124711819
98418,10069.0,5,4.965736418710895
98422,20151.0,10,4.962532876780308
98424,10140.0,6,5.9171597633136095
98439,4839.0,1,2.0665426741062203
98443,5371.0,2,3.723701359150996
98444,33956.0,43,12.663446813523382
98445,29661.0,23,7.754290145308654
98446,10173.0,9,8.846947803007962
98465,6340.0,6,9.46372239747634
98466,26944.0,16,5.938242280285036
98467,14728.0,5,3.3948940793047258
98498,27546.0,7,2.5412038045451246
98499,29750.0,22,7.394957983193278
98501,38133.0,21,5.507041145464559
98502,30491.0,13,4.263553179626775
98503,36611.0,18,4.916555133702985
98506,18199.0,5,2.747403703500192
98512,28130.0,17,6.043370067543548
98513,31975.0,12,3.7529319781078967
98516,20166.0,6,2.9753049687592976
98520,23814.0,10,4.199210548416898
98524,3232.0,4,12.376237623762377
98528,9983.0,7,7.011920264449564
98531,24121.0,17,7.047800671613946
98532,23596.0,22,9.323614171893542
98538,304.0,1,32.89473684210526
98541,10101.0,5,4.95000495000495
98546,2909.0,5,17.188037126160193
98547,1436.0,2,13.927576601671309
98550,11382.0,8,7.028641714988578
98552,508.0,2,39.37007874015748
98557,3225.0,2,6.2015503875969
98563,8001.0,6,7.499062617172854
98564,2459.0,2,8.13338755591704
98568,2519.0,2,7.939658594680429
98569,5784.0,2,3.4578146611341634
98570,3889.0,3,7.714065312419645
98576,4667.0,6,12.8562245553889
98577,6338.0,2,3.155569580309246
98579,12870.0,20,15.54001554001554
98580,11099.0,17,15.316695197765565
98582,611.0,2,32.733224222585925
98584,36630.0,29,7.917007917007917
98585,655.0,1,15.267175572519085
98586,1944.0,3,15.432098765432098
98587,942.0,1,10.615711252653927
98588,1829.0,2,10.934937124111537
98589,7320.0,8,10.92896174863388
98591,3952.0,3,7.5910931174089065
98592,1764.0,2,11.337868480725623
98593,1113.0,2,17.969451931716083
98596,6524.0,3,4.598405885959534
98597,21557.0,18,8.349955930788143
98601,2982.0,6,20.120724346076457
98603,1017.0,1,9.83284169124877
98604,34232.0,20,5.842486562280906
98605,1225.0,2,16.3265306122449
98606,9027.0,10,11.077877478675086
98607,27899.0,11,3.942793648517868
98610,2871.0,3,10.449320794148381
98611,9133.0,11,12.044235191065367
98619,457.0,1,21.88183807439825
98620,7123.0,8,11.231222799382282
98625,6133.0,2,3.261046796021523
98626,24523.0,13,5.301145863067324
98628,385.0,1,25.974025974025974
98629,8364.0,4,4.782400765184122
98631,3243.0,1,3.0835646006783843
98632,49205.0,19,3.861396199573214
98635,1735.0,2,11.527377521613833
98638,1525.0,1,6.557377049180328
98639,847.0,1,11.806375442739078
98640,4380.0,1,2.2831050228310503
98642,15696.0,5,3.1855249745158
98645,1429.0,2,13.995801259622114
98648,3100.0,2,6.451612903225806
98649,895.0,5,55.865921787709496
98660,11858.0,3,2.52993759487266
98661,41740.0,11,2.635361763296598
98662,31644.0,10,3.160156743774491
98663,14115.0,6,4.2507970244420825
98664,21771.0,9,4.133939644481191
98665,24057.0,8,3.3254354242008564
98670,113.0,1,88.49557522123894
98671,21220.0,16,7.540056550424128
98674,12029.0,5,4.156621498046388
98675,6713.0,6,8.937881722031879
98682,52893.0,26,4.9155842928175755
98683,30832.0,14,4.540736896730669
98684,26968.0,14,5.191337881934144
98685,26217.0,7,2.6700232673456155
98686,17385.0,4,2.3008340523439745
98801,40977.0,16,3.9046294262635137
98802,28719.0,13,4.5266200076604335
98812,4899.0,2,4.082465809348847
98813,3176.0,1,3.1486146095717884
98814,466.0,2,42.918454935622314
98815,7233.0,3,4.14765657403567
98816,6394.0,3,4.6918986549890525
98822,1953.0,3,15.360983102918587
98823,11055.0,12,10.854816824966079
98824,181.0,1,55.248618784530386
98826,6504.0,2,3.075030750307503
98828,2146.0,1,4.659832246039143
98831,3708.0,3,8.090614886731391
98832,320.0,2,62.5
98836,584.0,1,17.123287671232877
98837,39722.0,23,5.790242183173053
98840,4851.0,9,18.552875695732837
98841,9197.0,11,11.960421876698923
98844,4740.0,3,6.329113924050633
98846,1173.0,3,25.575447570332482
98847,1920.0,1,5.208333333333333
98848,11518.0,8,6.945650286508075
98849,1078.0,3,27.82931354359926
98850,1543.0,3,19.44264419961115
98851,4014.0,3,7.473841554559043
98855,5863.0,2,3.4112229234180456
98856,2464.0,1,4.058441558441558
98857,4082.0,8,19.598236158745713
98858,1521.0,2,13.149243918474689
98860,259.0,2,77.22007722007721
98901,30169.0,26,8.618117935629288
98902,46322.0,23,4.965243296921549
98903,14517.0,15,10.332713370531101
98908,35240.0,20,5.675368898978434
98922,5468.0,5,9.1441111923921
98923,1434.0,1,6.97350069735007
98926,30239.0,9,2.9762888984424087
98930,15252.0,8,5.245213742460005
98932,5032.0,8,15.89825119236884
98933,1267.0,4,31.570639305445937
98934,1117.0,1,8.952551477170994
98935,4190.0,8,19.09307875894988
98936,5872.0,9,15.326975476839237
98937,4112.0,4,9.727626459143968
98938,2177.0,5,22.967386311437757
98942,16973.0,15,8.837565545277794
98944,22014.0,23,10.44789679294994
98947,2902.0,4,13.783597518952446
98948,13225.0,25,18.90359168241966
98951,13739.0,31,22.56350534973433
98952,2330.0,9,38.62660944206009
98953,6681.0,9,13.47103726986978
99001,6151.0,6,9.754511461550967
99003,4848.0,3,6.188118811881188
99004,18376.0,5,2.720940356987375
99005,8574.0,5,5.831583858175881
99006,11946.0,10,8.371002846140968
99008,641.0,2,31.201248049921997
99009,3947.0,3,7.600709399543957
99012,1064.0,2,18.796992481203006
99013,1785.0,1,5.602240896358543
99016,12480.0,5,4.006410256410256
99019,9502.0,5,5.262050094716901
99021,9174.0,5,5.450185306300415
99022,8820.0,7,7.936507936507937
99023,529.0,1,18.90359168241966
99025,5232.0,2,3.8226299694189603
99026,9042.0,7,7.741650077416501
99027,6101.0,2,3.2781511227667597
99029,1289.0,4,31.031807602792863
99030,1032.0,1,9.689922480620154
99031,1137.0,1,8.795074758135444
99032,691.0,2,28.94356005788712
99037,12973.0,8,6.166653819471209
99040,734.0,3,40.87193460490463
99101,1453.0,2,13.764624913971094
99109,5109.0,5,9.786651008025053
99111,4047.0,1,2.4709661477637757
99114,12018.0,5,4.1604260276252285
99115,1143.0,3,26.246719160104988
99117,485.0,1,20.61855670103093
99118,931.0,1,10.741138560687434
99119,1204.0,1,8.305647840531561
99122,3773.0,3,7.95123244102836
99123,1058.0,1,9.45179584120983
99129,793.0,1,12.610340479192939
99130,828.0,3,36.231884057971016
99133,1493.0,1,6.697923643670462
99134,643.0,2,31.104199066874028
99138,1209.0,2,16.542597187758478
99141,5240.0,2,3.816793893129771
99148,2106.0,1,4.748338081671415
99149,208.0,1,48.07692307692308
99152,197.0,1,50.76142131979695
99155,1350.0,6,44.44444444444444
99156,8114.0,5,6.162188809465122
99157,697.0,1,14.347202295552368
99159,1375.0,1,7.2727272727272725
99163,31404.0,2,0.6368615462998344
99166,3222.0,1,3.1036623215394163
99167,625.0,1,16.0
99169,2459.0,2,8.13338755591704
99171,959.0,1,10.427528675703858
99180,939.0,1,10.649627263045794
99181,1901.0,2,10.520778537611783
99185,1295.0,1,7.722007722007722
99201,13342.0,7,5.246589716684155
99202,21580.0,14,6.487488415199259
99203,20192.0,4,1.9809825673534074
99204,6681.0,4,5.98712767549768
99205,42137.0,16,3.7971379073023708
99206,34802.0,27,7.758174817539222
99207,30854.0,22,7.130355869579309
99208,49193.0,22,4.4721810013619825
99212,19197.0,11,5.730061988852425
99216,24362.0,6,2.462851982595846
99217,17423.0,12,6.887447626700339
99218,15531.0,9,5.7948618891249755
99223,29273.0,12,4.099340689372459
99224,18289.0,11,6.014544261577997
99301,68191.0,39,5.719229810385535
99320,9201.0,7,7.607868709922834
99324,9202.0,2,2.1734405564007826
99326,4956.0,5,10.088781275221953
99328,3733.0,1,2.678810608090008
99336,48753.0,16,3.2818493220929996
99337,29845.0,10,3.3506449991623386
99338,11555.0,4,3.4617048896581566
99341,884.0,1,11.312217194570136
99343,3040.0,1,3.289473684210526
99344,16817.0,17,10.10881845751323
99347,2293.0,1,4.361098996947231
99348,1364.0,1,7.331378299120234
99349,8483.0,12,14.145938936696924
99350,12979.0,11,8.475229216426536
99352,26975.0,15,5.560704355885079
99353,13306.0,3,2.2546219750488503
99354,21343.0,9,4.216839244717238
99357,4323.0,6,13.879250520471894
99362,41056.0,8,1.9485580670303975
99371,311.0,3,96.46302250803859
99402,1875.0,1,5.333333333333333
99403,19548.0,9,4.6040515653775325
99508,35857.0,2,0.5577711464985916
99611,15122.0,1,0.6612881893929374
