"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
5534,2694,2840,7005,110,0,44,66,0,6895,39,38,0,0,0,386,252,134,6432,7005,275,80,0,0,235,6867,7005,6579,39,0,0,0,0,38,0,0,8,22,8,0,0,0,0,0,0,0,0,61,6441,6579,426,0,210,42,0,426,7005,532,219,5669,5556,2708,2848,105.2,5556,300,5392,527,769,883,338,390,828,2219,1222,1790,892,898,100.7,1790,390,178,3395,3610,48.1,106.3,1449,429,4205,83856
24406,12376,12030,35297,3874,0,2911,945,18,31423,308,6073,2175,905,494,2411,2229,182,19057,35297,998,7159,2984,1354,3228,22860,35297,32306,373,5,5,0,7,6092,1145,805,1154,284,1532,726,446,2236,905,29,63,284,529,2552,20148,32306,2991,77,490,708,517,2991,35297,2210,1994,27932,26904,13511,13393,99.1,26904,1600,25871,4405,4944,4707,2880,2791,2834,6540,3308,4924,2612,2312,88.5,4924,1036,580,17099,18198,40.4,106.4,8393,2008,12105,98001
22320,11182,11138,35915,8164,64,7145,778,177,27751,481,2347,3227,1125,121,2959,2548,411,17491,35915,1435,3368,4959,1332,5353,23733,35915,31941,551,14,0,15,7,2361,230,105,851,45,94,704,332,3350,1125,42,10,682,391,4243,20311,31941,3974,238,473,688,1035,3974,35915,2298,2026,27827,27001,13333,13668,102.5,27001,2180,25905,5906,4460,4526,2586,2302,2191,5662,2863,4725,2596,2129,82,4725,1305,557,17668,18247,35.4,103.3,8914,2715,15026,98002
30975,15557,15418,50501,10445,57,8394,1725,269,40056,161,6357,9454,1022,318,4461,3926,535,18283,50501,1284,7596,11964,1791,8132,27009,50501,43972,236,0,14,8,10,6425,387,587,1537,172,1325,954,1463,9707,1022,149,199,77,597,5671,20911,43972,6529,41,737,644,1479,6529,50501,3564,3860,40119,38517,18957,19560,103.2,38517,2898,36037,8051,6253,5484,2829,3212,3304,9393,4645,7489,4294,3195,74.4,7489,1940,904,24864,25637,35.9,103.1,11984,3557,19809,98003
23100,11508,11592,38632,1959,21,1068,781,89,36673,94,14408,750,144,252,2023,1822,201,19002,38632,206,16029,1181,268,1160,22338,38632,36233,109,0,0,0,0,14417,4248,5830,331,1208,1447,1015,338,750,144,0,5,47,92,653,20160,36233,2399,0,85,1257,195,2399,38632,1716,1848,32678,31847,15757,16090,102.1,31847,1863,31104,9148,5770,4934,1906,2831,1464,6278,2637,5281,2869,2412,84.1,5281,1335,1309,18418,20214,37,109.8,6785,1871,19989,98004
11359,5566,5793,21603,1268,28,744,477,19,20335,13,9987,305,0,79,928,778,150,9023,21603,74,10567,502,46,1028,10880,21603,20109,26,0,0,0,0,9987,4608,2867,200,449,689,871,303,305,0,0,0,0,0,312,9479,20109,1494,0,48,495,189,1494,21603,1272,995,17229,16804,8332,8472,101.7,16804,945,16188,4212,3532,2934,1257,1250,928,3234,1529,2646,1456,1190,81.7,2646,832,285,10462,11141,36.2,106.5,4799,1632,8929,98005
25441,12716,12725,39595,3304,192,2423,578,111,36291,48,15604,870,29,428,1165,1084,81,18147,39595,281,16576,1063,153,2196,22056,39595,36993,59,0,0,0,0,15655,1788,9081,271,712,1444,1470,889,870,29,0,10,6,13,820,19560,36993,2602,0,130,794,116,2602,39595,3086,2967,31774,30340,15356,14984,97.6,30340,1531,28887,3727,5500,6687,2381,3036,3056,7845,3676,5882,3248,2634,81.1,5882,1779,427,19649,19946,43.1,101.5,9255,1742,14640,98006
14357,6869,7488,28576,2648,71,1844,705,28,25928,154,11909,1640,129,21,1252,763,489,10823,28576,389,12677,2060,133,1268,13763,28576,27007,154,0,8,0,0,12039,7031,2275,500,319,468,1010,436,1640,129,12,59,16,42,527,12518,27007,1569,41,79,309,245,1569,28576,1483,1095,23164,22887,10906,11981,109.9,22887,1371,22285,8086,4284,3197,1661,1314,810,3684,1567,3285,2039,1246,61.1,3285,1051,667,13714,14862,33.3,108.4,5689,1990,12360,98007
16787,8387,8400,26091,2419,20,1906,426,67,23672,23,6529,426,7,106,1368,1221,147,15213,26091,163,7754,569,178,1198,18316,26091,24338,60,0,0,0,0,6550,1970,2364,395,529,248,478,566,426,7,0,0,7,0,646,16649,24338,1753,0,60,961,102,1753,26091,1735,1378,21285,20612,10175,10437,102.6,20612,1236,20117,2921,3573,4075,1584,1858,1469,5821,2529,5118,2877,2241,77.9,5118,1121,1468,12746,13345,43.8,104.7,5479,1144,9794,98008
4394,2174,2220,5963,376,0,170,191,15,5587,5,347,48,0,42,187,168,19,4958,5963,30,490,48,0,409,5378,5963,5571,5,0,0,0,0,347,79,11,217,0,21,19,0,48,0,0,0,0,0,185,4986,5571,392,0,25,143,0,392,5963,483,164,4695,4671,2201,2470,112.2,4671,245,4557,899,848,765,281,639,451,1072,507,787,382,405,106,787,190,90,2830,3133,40.7,110.7,1292,401,2447,98010
17796,8781,9015,27396,3397,73,2386,821,117,23999,41,4885,281,39,105,1444,1191,253,17204,27396,569,5955,418,124,2482,20391,27396,25265,45,0,0,0,0,5017,1439,1515,446,297,383,563,374,289,39,0,30,0,9,1570,18305,25265,2131,14,191,618,55,2131,27396,1735,1532,21824,21195,10400,10795,103.8,21195,1143,20400,4177,4757,3740,1933,1669,1304,4797,2432,3780,2179,1601,73.5,3780,832,516,13564,13832,37.7,102,6201,1626,11985,98011
44759,22686,22073,75045,6570,58,4740,1485,287,68475,453,19916,1820,189,566,4209,3751,458,41322,75045,1253,22351,3221,662,3964,49321,75045,69666,477,68,0,0,0,19946,9524,2953,1457,534,2520,1967,991,1860,212,133,37,42,0,2590,44581,69666,5379,20,602,1666,999,5379,75045,5452,4192,57436,55428,27893,27535,98.7,55428,4047,53171,11695,13241,10287,5938,3908,3298,9397,4937,7516,4050,3466,85.6,7516,1871,708,37757,37288,35.5,98.8,19617,5471,27552,98012
5711,2864,2847,7736,442,0,389,47,6,7294,15,314,27,5,0,125,104,21,6808,7736,21,420,28,12,215,7297,7736,7479,15,0,11,0,0,314,31,188,2,3,7,68,15,27,5,0,5,0,0,65,7053,7479,257,0,6,93,0,257,7736,462,580,6295,6073,3053,3020,98.9,6073,322,5890,664,1021,1007,332,791,800,1727,1007,1337,676,661,97.8,1337,271,59,4015,3721,46,92.7,1663,420,2967,98014
7227,3709,3518,11290,1087,0,910,116,61,10203,0,770,50,0,0,323,308,15,9060,11290,26,1007,69,47,659,10170,11290,10621,0,0,0,0,0,770,280,33,13,243,27,153,21,50,0,0,0,0,0,298,9503,10621,669,0,26,217,17,669,11290,883,851,8544,8169,4151,4018,96.8,8169,564,7880,1126,1987,2074,920,805,550,1225,603,867,582,285,49,867,236,28,5849,5441,37.5,93,3121,663,4026,98019
15223,7967,7256,18594,694,0,475,127,92,17900,23,1259,47,0,130,755,742,13,15686,18594,557,1568,140,0,335,17064,18594,17630,23,0,0,0,0,1259,60,154,305,308,182,171,79,72,0,0,0,0,0,176,16100,17630,964,0,428,309,68,964,18594,784,639,16271,15893,8486,7407,87.3,15893,649,15667,1960,2175,2680,734,1177,1734,6391,2841,5393,3104,2289,73.7,5393,1649,903,10019,8575,51.4,85.6,2701,669,9411,98020
21099,10818,10281,34359,2270,364,1274,570,62,32089,248,8428,373,110,57,1633,1437,196,21240,34359,556,9577,792,510,1405,24176,34359,31916,248,0,1,10,0,8634,4328,2034,363,205,604,772,328,385,110,27,25,58,0,529,22010,31916,2443,0,156,652,268,2443,34359,2818,1947,25854,24969,12793,12176,95.2,24969,1240,24209,4065,6334,5178,2799,1817,1697,5277,2684,4098,2215,1883,85,4098,1100,314,17283,17076,37.8,98.8,9390,2366,12076,98021
16590,8327,8263,22007,2464,8,1885,537,34,19543,271,543,80,115,0,1077,1045,32,17457,22007,731,972,316,160,1113,20254,22007,20513,271,0,33,0,0,543,0,72,298,34,36,54,49,80,115,0,0,115,0,725,18779,20513,1494,0,454,377,206,1494,22007,1456,1272,17945,17402,8809,8593,97.5,17402,981,16653,2532,2876,2517,1311,1786,1804,5255,2800,4317,2280,2037,89.3,4317,880,637,10705,11302,43,105.6,4605,1155,9849,98022
35207,17468,17739,51811,7177,76,5168,1758,175,44634,484,7535,7443,1303,326,4758,4409,349,22785,51811,1714,10119,10273,1974,5170,30306,51811,45538,644,40,21,15,0,7535,182,770,2322,209,2092,1000,960,7613,1318,63,122,680,453,3412,25016,45538,6273,130,260,1374,1371,6273,51811,3830,3365,41356,39846,19439,20407,105,39846,3895,37655,6581,7039,7211,2803,3607,3726,8600,4053,6440,3311,3129,94.5,6440,1704,683,25168,26643,37.7,105.9,11965,3314,18997,98023
4198,2055,2143,5503,527,0,504,23,0,4976,90,238,85,24,0,252,245,7,4287,5503,286,366,204,114,356,4693,5503,5205,160,90,0,0,0,238,8,63,67,100,0,0,0,85,24,0,24,0,0,303,4395,5205,298,0,7,29,0,298,5503,331,234,4467,4356,2185,2171,99.4,4356,276,4191,461,590,731,233,460,634,1408,659,1131,600,531,88.5,1131,378,94,2602,2901,48.1,111.5,1147,422,2122,98024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,98025
28883,15145,13738,39340,3346,51,1595,1438,262,35994,232,4667,1081,217,82,2891,2529,362,26824,39340,819,5945,1677,723,2423,31726,39340,35600,238,10,0,0,0,4675,514,986,656,358,940,503,718,1081,217,33,113,20,51,1296,28093,35600,3740,13,365,1149,425,3740,39340,1650,2268,32319,31365,16324,15041,92.1,31365,1928,30434,5315,5869,5502,2426,3244,2397,7852,4055,6432,3590,2842,79.2,6432,1663,714,20007,19333,42.1,96.6,7975,2309,15951,98026
20227,10155,10072,27808,2239,60,1518,565,96,25569,68,4060,256,0,140,1286,1167,119,19759,27808,616,4738,678,117,1334,22167,27808,26232,90,14,0,0,0,4105,758,1593,332,431,655,173,163,348,0,0,0,0,0,999,20690,26232,1576,30,318,437,157,1576,27808,1625,1565,22913,22331,11192,11139,99.5,22331,1027,21601,3937,4418,4514,1514,2024,1809,5090,2163,4005,2148,1857,86.5,4005,1288,554,13869,13939,41.2,100.5,5477,1370,11815,98027
16492,7912,8580,23556,1562,22,855,441,244,21994,24,3438,753,18,98,1256,1059,197,16407,23556,314,4096,1051,138,1083,18871,23556,21739,47,0,0,0,0,3438,335,1651,334,161,386,487,84,753,18,0,16,2,0,417,17066,21739,1817,0,240,625,165,1817,23556,1362,1213,19127,18596,8871,9725,109.6,18596,700,17993,4126,3236,3431,1437,1592,1293,4604,2160,3786,2068,1718,83.1,3786,1077,549,11512,12044,39.6,104.6,4960,1380,9623,98028
17964,9793,8171,31480,1614,47,858,641,68,29866,32,9688,795,11,315,1652,1652,0,17373,31480,245,11123,1253,257,1052,20131,31480,29322,32,0,0,0,0,9707,4736,3518,224,453,349,375,52,812,11,0,11,0,0,675,18085,29322,2158,0,177,1125,180,2158,31480,2438,1499,24273,23527,12557,10970,87.4,23527,895,22943,5710,6113,4346,2408,1611,1395,3986,1570,3025,1769,1256,71,3025,987,468,16710,14770,36,88.4,7953,2040,12692,98029
23678,11922,11756,39526,6417,21,4728,1472,196,33109,35,8043,4659,908,102,2540,2344,196,16822,39526,882,9632,5772,1117,4698,21549,39526,35698,276,0,0,0,0,8043,1589,813,1430,162,152,2384,1513,4775,908,128,116,206,458,3465,18231,35698,3828,6,272,1093,778,3828,39526,2628,2715,30518,29483,14527,14956,103,29483,2440,27658,6356,5828,4856,3134,2394,2226,5233,2284,4176,2469,1707,69.1,4176,1200,692,19317,20209,34.5,104.6,10043,2773,13813,98030
25799,12885,12914,41464,5443,65,3737,1573,68,36021,126,11889,4775,256,119,3544,3388,156,15312,41464,894,13079,6842,813,4607,20282,41464,37095,173,0,0,6,0,11971,2615,1949,2832,311,261,1827,2176,4828,272,47,53,142,30,3515,16336,37095,4369,31,371,770,1242,4369,41464,2542,2547,32488,31469,15615,15854,101.5,31469,2634,30117,6949,5611,5317,3107,3212,2470,5950,2742,4426,2410,2016,83.7,4426,1201,483,19865,21599,35.6,108.7,9995,2649,14156,98031
22768,11848,10920,38985,8294,18,5714,2223,339,30691,66,6485,5214,1709,42,2807,2634,173,14368,38985,498,8015,6848,1896,6399,19193,38985,35233,100,20,0,0,0,6528,755,539,1722,162,206,2103,1041,5364,1709,183,91,647,788,5593,15939,35233,3752,120,198,1125,1253,3752,38985,2765,2011,30000,29296,14821,14475,97.7,29296,3025,27765,7755,5791,4148,3418,2377,1685,4673,2390,3709,2193,1516,69.1,3709,1044,275,19242,19743,32.9,102.6,9689,2301,15102,98032
27329,14433,12896,39726,2321,4,1429,716,172,37405,19,6771,671,6,338,2284,2104,180,27316,39726,445,8498,947,84,1478,31121,39726,36963,120,0,0,0,0,6839,2179,2669,252,443,514,639,143,689,6,0,0,0,6,838,28471,36963,2763,0,259,1528,201,2763,39726,2219,2212,32448,31588,16468,15120,91.8,31588,2065,30272,6103,6691,4834,2379,2761,2621,6891,3735,5591,3345,2246,67.1,5591,1483,373,20675,19051,38.7,92.1,8138,2250,17946,98033
36198,17787,18411,52841,4513,54,3174,1071,214,48328,147,7958,822,44,207,3419,2972,447,35731,52841,1358,9812,1515,403,2999,41662,52841,48376,314,0,17,0,0,7958,1838,2598,400,734,498,1555,335,841,44,44,0,0,0,1544,37675,48376,4465,14,758,1208,438,4465,52841,3041,2327,43258,42280,20800,21480,103.3,42280,3012,41130,9639,8924,6829,2776,3064,3011,8750,4266,6983,3929,3054,77.7,6983,1792,925,25640,27201,37.2,106.1,10561,3235,21858,98034
28360,14104,14256,41132,4579,66,2764,1678,71,36553,72,6211,2963,43,24,2333,2238,95,24907,41132,1023,7669,4029,112,2268,30054,41132,37666,75,0,16,3,0,6222,693,703,934,288,1079,1168,1357,3094,43,11,0,32,0,1483,26749,37666,3466,0,343,1094,847,3466,41132,2395,2284,33216,32440,16065,16375,101.9,32440,2697,30975,5809,5882,6120,2175,2532,2576,7521,3525,5838,3499,2339,66.8,5838,1453,860,20476,20656,38.7,100.9,8692,2824,15923,98036
20383,9862,10521,28938,3472,139,2811,506,16,25466,84,6885,1714,57,25,1798,1663,135,14903,28938,720,7824,1965,395,2422,19044,28938,25691,84,0,79,0,0,6902,572,1000,1299,158,1487,1401,985,1714,97,11,0,72,14,897,15997,25691,3247,0,622,566,86,3247,28938,1722,1220,23770,23259,11354,11905,104.9,23259,1231,22552,4508,4676,3918,1311,1900,2149,5663,2631,4466,2321,2145,92.4,4466,1371,464,14590,14348,40,98.3,5679,1837,11033,98037
25440,12473,12967,37624,1813,75,1035,651,52,35811,77,3159,638,209,142,2472,2161,311,29114,37624,496,4768,1318,599,1222,32797,37624,34568,77,12,0,0,0,3185,1007,490,638,39,366,538,107,638,235,130,84,10,11,425,30008,34568,3056,0,317,1006,392,3056,37624,3423,2953,27960,26668,13109,13559,103.4,26668,1353,25370,3678,6489,5309,3339,2603,2254,5211,2575,3981,2212,1769,80,3981,973,433,18181,19443,38.3,106.9,10956,2242,13058,98038
1899,1007,892,2928,26,0,0,22,4,2902,0,783,18,0,9,346,346,0,1746,2928,166,854,233,15,9,2113,2928,2582,0,0,0,0,0,783,60,531,14,33,65,80,0,18,0,0,0,0,0,9,1772,2582,346,0,60,48,117,346,2928,355,249,2268,2160,1137,1023,90,2160,116,2065,89,347,630,122,178,170,669,340,554,291,263,90.4,554,134,80,1524,1404,46.7,92.1,768,118,1113,98039
17271,9074,8197,25506,825,6,413,367,39,24681,17,5436,216,27,181,1764,1654,110,17040,25506,207,6794,498,74,667,19344,25506,23559,17,0,0,0,0,5492,759,2880,110,704,631,309,99,231,27,0,0,0,27,374,17418,23559,1947,0,97,1255,200,1947,25506,2087,1592,20327,19503,10366,9137,88.1,19503,889,18866,2088,3015,4306,1850,2009,1655,6209,2655,5044,2793,2251,80.6,5044,1411,978,13497,12009,45.5,89,6003,971,10565,98040
33872,17456,16416,48639,5033,0,3920,888,225,43606,245,5788,2348,51,155,3299,2485,814,31720,48639,1444,7098,3454,296,3829,37432,48639,44136,332,4,0,0,20,5846,1349,734,2114,339,109,630,571,2439,51,0,28,7,16,2063,33405,44136,4503,252,595,867,706,4503,48639,2956,3250,38525,36990,18838,18152,96.4,36990,2395,35588,5305,7223,7323,3443,3580,3830,8465,4103,6270,3198,3072,96.1,6270,1532,635,24284,24355,40.8,100.3,11649,3064,17240,98042
15461,7892,7569,21265,2778,33,1863,841,41,18487,40,2087,1028,144,55,1413,1375,38,13720,21265,501,3066,1620,346,1833,15963,21265,19428,161,0,0,0,0,2106,168,332,567,203,192,288,356,1028,150,100,6,44,0,1539,14444,19428,1837,17,171,565,353,1837,21265,1209,956,17634,17231,8924,8307,93.1,17231,1233,16648,3554,3598,2385,1227,1554,1575,3790,1654,2963,1596,1367,85.7,2963,792,517,10903,10362,37.7,95,4034,1011,9027,98043
11184,5598,5586,15611,1595,0,1246,119,230,14016,50,654,30,16,37,821,799,22,12408,15611,302,1331,59,16,1190,13935,15611,14413,162,0,0,0,0,654,36,189,246,64,33,86,0,30,16,0,0,16,0,791,12760,14413,1198,0,131,648,20,1198,15611,1293,1067,12361,11921,6016,5905,98.2,11921,499,11463,2063,2464,2474,898,1254,905,2476,1319,1890,1009,881,87.3,1890,431,140,7702,7909,39.4,102.7,3690,804,5944,98045
4468,2522,1946,7024,1669,0,1310,87,272,5355,9,810,665,471,0,403,403,0,2997,7024,227,1194,961,686,791,4280,7024,6047,9,0,0,0,0,810,57,0,617,14,0,122,0,692,471,0,15,283,173,524,3541,6047,977,0,94,169,108,977,7024,614,511,5386,5152,2888,2264,78.4,5152,270,4885,1780,876,593,429,472,345,824,288,612,364,248,68.1,612,285,39,3731,3293,31.6,88.3,1872,522,2386,98047
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,98050
3309,1859,1450,4272,80,0,61,13,6,4192,69,81,0,0,37,357,352,5,3648,4272,78,339,145,38,62,4066,4272,3863,69,0,0,0,0,94,0,5,21,16,42,0,10,0,0,0,0,0,0,43,3657,3863,409,0,0,207,136,409,4272,153,298,3513,3360,1890,1470,77.8,3360,342,3193,281,509,699,326,605,280,696,419,554,354,200,56.5,554,68,67,2367,1905,45,80.5,912,225,1574,98051
40171,19727,20444,75765,5267,94,3227,1754,192,70498,100,28089,1339,48,345,3196,2777,419,37381,75765,783,30180,2209,427,2556,44356,75765,71408,374,24,0,0,0,28142,15649,7844,405,1237,1021,1562,424,1379,48,0,26,22,0,1135,40330,71408,4357,0,282,1582,538,4357,75765,4161,3787,59695,58164,28226,29938,106.1,58164,3407,56541,15826,13974,8651,5565,3431,3666,10195,4635,7970,4404,3566,81,7970,2075,1260,36873,38892,34.9,105.5,17601,5327,31851,98052
13817,7114,6703,22857,774,28,290,414,42,22083,0,5972,152,0,186,1073,931,142,14700,22857,112,6570,602,17,752,16316,22857,21418,0,0,0,0,0,5980,4316,590,102,222,251,481,18,152,0,0,0,0,0,239,15047,21418,1439,9,65,394,367,1439,22857,1694,1165,17596,17083,8773,8310,94.7,17083,488,16789,1887,3905,3123,1821,1391,1501,5453,2725,4552,2372,2180,91.9,4552,1535,292,11837,11020,43.7,93.1,5774,1330,8756,98053
16599,8350,8249,24668,2420,0,1613,771,36,22248,91,6313,2912,612,26,2572,2503,69,9722,24668,961,7669,4939,1034,2252,12571,24668,21391,139,23,5,0,0,6313,929,1331,1492,56,227,969,1309,2912,626,206,63,27,330,1242,10159,21391,3277,149,92,330,526,3277,24668,1313,893,19695,19401,9709,9692,99.8,19401,1723,18759,5472,3692,2807,1341,1064,1262,3710,1612,2975,1701,1274,74.9,2975,796,567,12373,12295,33.4,99.4,5267,2126,9786,98055
24559,12260,12299,36950,6361,74,4680,1562,45,30589,63,9778,1507,230,379,2200,1721,479,16432,36950,574,10699,2491,408,4395,22462,36950,33361,125,0,0,0,0,9819,955,2691,1418,515,731,1414,2095,1507,230,0,17,18,195,2475,19205,33361,3589,0,312,554,333,3589,36950,1927,2036,30637,29713,14621,15092,103.2,29713,2109,28615,6697,5495,4933,1743,2391,2521,6400,3009,4897,2850,2047,71.8,4897,1246,642,18396,18554,37.8,100.9,7237,2201,15117,98056
9245,4503,4742,12351,2479,61,1602,599,217,9872,47,1973,2050,0,35,798,749,49,4969,12351,466,2359,2465,20,1305,6864,12351,11256,89,0,0,0,0,2014,59,348,924,47,122,158,356,2128,0,0,0,0,0,972,6053,11256,1095,88,256,212,172,1095,12351,414,325,10598,10459,5151,5308,103,10459,759,10333,2724,2043,1630,527,880,631,2062,891,1707,990,717,72.4,1707,562,254,5985,6366,37.5,106.4,1892,711,6463,98057
29487,14954,14533,42366,5366,137,3684,1117,428,37000,108,6302,3261,253,128,2864,2763,101,24084,42366,747,8250,4697,689,3881,29638,42366,37824,108,0,0,0,0,6315,507,1245,1500,252,432,1411,968,3395,339,77,190,12,60,2278,25389,37824,4542,115,200,1174,942,4542,42366,2692,2390,33721,32711,16680,16031,96.1,32711,2220,31340,6262,6034,6011,2561,2767,2781,7503,3651,5783,3078,2705,87.9,5783,1555,577,21317,21049,38.3,98.7,9655,2865,16216,98058
27453,13999,13454,41076,3676,54,2380,1030,212,37400,122,10302,723,30,217,3858,3237,621,22148,41076,1030,12558,1708,128,2481,28079,41076,36531,309,0,13,0,14,10335,1243,3339,1047,418,474,1534,2280,823,30,0,0,0,30,1353,23681,36531,4545,4,453,1938,684,4545,41076,3623,2568,31966,30897,15718,15179,96.6,30897,1920,29596,4759,6721,6661,2836,2438,2111,6620,3398,5228,2781,2447,88,5228,1247,583,20717,20359,39,98.3,10179,2211,14516,98059
10084,4982,5102,15779,774,0,392,337,45,15005,7,1655,61,0,20,796,754,42,12466,15779,155,2075,182,155,230,13896,15779,14923,13,0,0,0,0,1655,749,178,95,23,150,446,14,61,0,0,0,0,0,140,13054,14923,856,0,98,392,63,856,15779,1564,998,11381,10896,5467,5429,99.3,10896,264,10592,1498,3481,2466,1490,939,651,1769,1009,1373,687,686,99.9,1373,157,207,8062,7717,37.6,95.7,4883,1055,5465,98065
